Sr. No,Scheme,Major Component,Sub Component,Activity Master Id,Activity Master Name,Activity Master Details ID,Activity Master Details Name,Norms / Unit Cost,Criteria For Appraisal
1,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,1,Opening of New Schools  - NR (Elementary),1.1,New Schools (Upto Class VIII),As per  State SORs/CPWD Rate (Which ever is less),
2,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,1,Opening of New Schools  - NR (Elementary),1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
3,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.1,Recurring Cost - New Primary (Samagra),Assistance for Recurring Expenditure including manpower deployment in new Primary/Upper Primary Schools of up to ? 10 lakh per school and new Secondary Schools of up to ? 25 lakh per school,
4,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.2,Recurring Cost - New Upper Primary (Samagra),,
5,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.3,Recurring Cost - Primary (Previous) (Samagra),,
6,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
7,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.17,Recurring Cost (Upto Class VIII) (New),,
8,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.18,Recurring Cost (Upto Class VIII) (Previous),,
9,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.1,Furniture/ Equipment (including kitchen),As per State Norms,
10,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.2,TLM and equipment including library books,As per State Norms,
11,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.3,Bedding,As per State Norms,
12,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
13,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
14,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
15,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.2,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 60 lakh per annum,
16,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.3,Stipend   per child per month,,
17,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.4,"Supplementary TLM, Stationery and other educational material",,
18,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.5,1 Warden,,
19,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.6,4 Fulltime teachers as per RTE Norms,,
20,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.7,2 Urdu Teachers,,
21,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.8,3 Part time teachers,,
22,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.9,1 Full Time Accountant,,
23,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.1,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
24,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.11,1 Head Cook,,
25,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.12,2 Assistant Cook,,
