"Integrated Scheme of School Education
                               ",,,,,,
Major Component,Sub Component,,,Activity Master,Norms,Criteria For Appraisal
Elementary Education,,,,,,
Access & Retention,Opening of New / Upgraded Schools,1,,Opening of New Schools  - NR (Elementary),,
,,,1.1,Composite School for Elementary,As per  State SORs/CPWD Rate (Which ever is less),
,,,1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
,,2,,Opening of New Schools - Recurring (Elementary),,
,,,2.1,Recurring Cost - New Primary (Samagra),,
,,,2.2,Recurring Cost - New Upper Primary (Samagra),,
,,,2.3,Recurring Cost - Primary (Previous) (Samagra),,
,,,2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
,Netaji Subhas Chandra Avasiya Vidhyalaya,10,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),,
,,,10.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.3,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,11,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),,
,,,11.1,No. of New NSCBA Schools (50 Capacity) - Current Year,"Enter Physical No. of New NSCBA School proposed current year, Financial budget would be Zero for this activity",
,,,11.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,11.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,11.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,11.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.6,4 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.9,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.10,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,11.13,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,11.14,Electricity / water charges,Physical Number should proposed per School per annum,
,,,11.15,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,11.16,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,11.17,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,11.18,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,11.19,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,11.20,Provision of Rent,Physical Number to be proposed per School,
,,,11.21,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,11.22,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,12,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),,
