bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
1,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,1,Opening of New Schools  - NR (Elementary),,,,
2,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,1,Opening of New Schools  - NR (Elementary),1.1,Composite School for Elementary,As per  State SORs/CPWD Rate (Which ever is less),
3,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,1,Opening of New Schools  - NR (Elementary),1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
4,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),,,,
5,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.1,Recurring Cost - New Primary (Samagra),,
6,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.2,Recurring Cost - New Upper Primary (Samagra),,
7,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.3,Recurring Cost - Primary (Previous) (Samagra),,
8,Elementary Education,Access & Retention,Opening of New / Upgraded Schools,2,Opening of New Schools - Recurring (Elementary),2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
9,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),,,,
10,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
11,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
12,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.3,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
13,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
14,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
15,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,10,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
16,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),,,,
17,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.1,No. of New NSCBA Schools (50 Capacity) - Current Year,"Enter Physical No. of New NSCBA School proposed current year, Financial budget would be Zero for this activity",
18,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
19,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
20,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
21,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
22,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.6,4 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
23,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
24,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
25,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.9,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
26,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.1,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
27,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
28,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
29,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.13,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
30,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.14,Electricity / water charges,Physical Number should proposed per School per annum,
31,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.15,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
32,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.16,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
33,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.17,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
34,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.18,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
35,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.19,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
36,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.2,Provision of Rent,Physical Number to be proposed per School,
37,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.21,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
38,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.22,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
39,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),,,,
40,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
41,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
42,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
43,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
44,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
45,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.6,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
46,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
47,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),,,,
48,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
49,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
